bpuic;y_Coord_Est;x_Coord_Nord
8508186;628463;220751
8587698;643683;132003
8531188;613319;109828
8530051;572770;129980
8501442;650331;141959
8583656;584548;246664
8590028;599934;200621
8579143;509845;163459
8572195;599991;249781
8576536;643212;163308
8589978;609759;262861
8574454;751309;255978
8572488;658112;262198
8530628;657809;238061
8517411;616381;263818
8519320;516635;155081
8578665;649182;251691
8591772;600039;144539
8501542;602381;128566
8583797;571723;105727
8500978;646127;258403
8572023;583129;244390
8570710;589577;119380
8577252;658363;226141
8594737;710589;269467
8572291;633794;259513
8595352;746044;254566
8504881;577993;183640
8504197;583275;195464
8581789;611007;180218
8593988;554656;146767
8593764;563161;130000
8588428;645905;250076
8580730;662144;256608
8577342;660779;234030
8584712;810956;183969
8579140;511464;164684
8574389;757484;223652
8595976;755128;224063
8578091;608184;227300
8575924;696232;252007
8571498;600731;219756
8579269;587316;148312
8596010;629774;128421
8589196;609940;213508
8573016;749710;186482
8591247;681646;250052
8578890;642936;129731
8571589;655293;171100
8581323;650969;224826
8571492;604514;221235
8504836;543575;152617
8583291;597714;122201
8589398;609757;264017
8500775;616312;253739
8589779;669248;211630
8572564;666142;251391
8573242;683081;256034
8581100;599187;115927
8578009;642939;248888
8576727;645419;178281
8502876;675580;243520
8557006;609540;120777
8570662;564701;118152
8572641;666093;235816
8570930;599781;115861
8504687;567195;126083
8594324;644925;163733
8577441;687887;206093
8596089;563555;129825
8574537;744924;152925
8588526;665655;214571
8508465;674738;204547
8583234;641554;218545
8579793;594782;243580
8575990;589200;198137
8593354;588445;222571
8588455;605498;227121
8581351;599881;199644
8589915;613320;232935
8591205;682176;246594
8577104;666473;225741
8572259;630991;267041
8501714;607015;122739
8589887;628436;240536
8576814;611209;178490
8576899;616433;231531
8578662;647885;251413
8500039;616382;264966
8577994;638368;248534
8572227;618829;257499
8571674;593924;183863
8591908;613826;176490
8579392;583292;116365
8501962;645533;121869
8594308;669261;254240
8594321;644682;166360
8589764;662173;211966
8577360;658986;266765
8583508;655939;223627
8590050;602618;200297
8500855;622879;256585
8589791;665512;212344
8592760;505613;124384
8579488;602290;126935
8572284;632008;257660
8582008;633056;128189
8577189;669310;210592
8577004;603741;200764
8589227;595312;197190
8576518;650015;166783
8593535;579980;80291
8589010;604577;202878
8577914;596948;226414
8571019;626528;139069
8588300;584381;110850
8593513;608681;261315
8507411;615003;182251
8577846;589209;174711
8573637;707274;252150
8581784;609139;179492
8591098;682237;245492
8505747;653648;138217
8594247;565668;163739
8579707;646832;201865
8573241;682499;256482
8573150;689907;224890
8508898;646887;207704
8578706;657722;242359
8500570;654232;259380
8583218;633582;170927
8591097;679157;249334
8571765;618585;205988
8508977;659380;191980
8508650;643954;222038
8571136;635920;127514
8593813;534273;156850
8557027;646869;215720
8577056;649137;203101
8577965;599311;227463
8593261;613264;221603
8570347;545684;166478
8589094;658557;135501
8590742;684726;253806
8507615;600490;144625
8572312;635370;251869
8501707;571503;126816
8505683;605236;123808
8588093;618009;219329
8591285;681990;251793
8507611;600464;142986
8507613;600933;144138
8504536;574168;200389
8576437;589929;213964
8579114;570500;127200
8578276;628823;256864
8572650;649585;237662
8587406;614181;174805
8572804;642924;221350
8572433;637629;264367
8571960;593802;235713
8530136;607363;122515
8530688;645193;136233
8530975;632806;116197
8505190;689879;161889
8531140;652329;140681
8531141;651289;140830
8501443;651115;140417
